panel,x,sorted,random,maxwellian
b_survival,3.363524,0.0009285888672,0.000755859375,0.0007695423683
b_survival,3.474199,0.0009270019531,0.0004982910156,0.0005123810952
b_survival,3.588516,0.0009256591797,0.0003225097656,0.0003325658185
b_survival,3.706594,0.0009239501953,0.000205078125,0.0002100650435
b_survival,3.828558,0.0009224853516,0.0001260986328,0.0001288962067
b_survival,3.954535,0.0009207763672,7.482910156e-05,7.668362767e-05
b_survival,4.084657,0.0009176025391,4.19921875e-05,4.414192806e-05
b_survival,4.219061,0.0009166259766,2.380371094e-05,2.453218764e-05
b_survival,4.357887,0.0009149169922,1.26953125e-05,1.313239709e-05
b_survival,4.501282,0.0009133300781,5.615234375e-06,6.754494615e-06
b_survival,4.649394,0.0009116210937,3.662109375e-06,3.329113626e-06
b_survival,4.802380,0.0009094238281,1.831054688e-06,1.567904514e-06
b_survival,4.960401,0.0009074707031,7.32421875e-07,7.034796419e-07
b_survival,5.123620,0.0009056396484,3.662109375e-07,2.997242823e-07
b_survival,5.292211,0.0009041748047,3.662109375e-07,1.208465578e-07
b_survival,5.466348,0.0009024658203,1.220703125e-07,4.594008024e-08
b_survival,5.646216,0.0008992919922,0,1.64017589e-08
b_survival,5.832002,0.0008974609375,0,5.476614873e-09
b_survival,6.023902,0.0008955078125,0,1.702617675e-09
b_survival,6.222115,0.0008927001953,0,4.904958078e-10
b_survival,6.426851,0.0008887939453,0,1.302740999e-10
b_survival,6.638324,0.0008854980469,0,3.172699408e-11
b_survival,6.856755,0.0008828125,0,7.044228706e-12
b_survival,7.082373,0.0008787841797,0,1.41706203e-12
